Date,Company,Contact,Status,Last_Action,Next_Step
2026-04-14,CoreWeave,Brian Venturo (CTO),Pitch Generated,AI Pitch Created,Review & Send
2026-04-14,Lambda Labs,Stephen Balaban (CEO),Pitch Generated,AI Pitch Created,Review & Send
2026-04-14,Crusoe Energy,Cully Cavness (Co-Founder & President),Pitch Generated,AI Pitch Created,Review & Send
2026-04-14,Vast Data,Jeff Denworth (Co-Founder & CMO),Pitch Generated,AI Pitch Created,Review & Send
2026-04-14,Cerebras Systems,Andrew Feldman (CEO),Pitch Generated,AI Pitch Created,Review & Send
2026-04-14,CoreWeave,Brian Venturo (CTO),New (Scraped),Added to CRM,Generate Pitch
2026-04-14,Lambda Labs,Stephen Balaban (CEO),New (Scraped),Added to CRM,Generate Pitch
2026-04-14,Crusoe Energy,Cullen Bash (CTO),New (Scraped),Added to CRM,Generate Pitch
2026-04-14,Vast.ai,Sean Maher (CEO),New (Scraped),Added to CRM,Generate Pitch
2026-04-14,NVIDIA (DGX Cloud & AI Infrastructure),Manuvir Das (VP of Enterprise Computing),New (Scraped),Added to CRM,Generate Pitch
